"school";"sex";"age";"address";"famsize";"Pstatus";"Medu";"Fedu";"Mjob";"Fjob";"reason";"nursery";"internet";"higher";"famsup";"freetime";"goout";"romantic";"activities";"health";"famrel";"guardian";"traveltime";"schoolsup";"studytime.portugese";"failures.portugese";"paid.portugese";"Dalc.portugese";"Walc.portugese";"absences.portugese";"G1.portugese";"G2.portugese";"G3.portugese";"studytime.math";"failures.math";"paid.math";"Dalc.math";"Walc.math";"absences.math";"G1.math";"G2.math";"G3.math";"large_family";"any_support";"relationships";"total_failures";"both_courses"
"GP";"F";15;"urban";"GT3";"A";3;3;"other";"health";"reputation";"yes";"no";"yes";FALSE;3;3;"no";"no";4;4;"father";"<15 min";TRUE;4;0;"no";1;1;10;10;10;10;4;0;"no";1;1;10;10;11;11;TRUE;TRUE;4;0;TRUE
"GP";"F";15;"urban";"GT3";"A";3;3;"services";"services";"home";"no";"no";"yes";FALSE;3;2;"yes";"no";1;1;"mother";"<15 min";FALSE;2;0;"no";2;3;24;9;8;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;4;0;FALSE
"GP";"F";15;"urban";"GT3";"A";4;3;"services";"services";"reputation";"yes";"yes";"yes";TRUE;3;2;"no";"yes";1;4;"mother";"<15 min";FALSE;2;0;"no";1;1;0;15;14;15;2;0;"yes";1;1;0;14;15;15;TRUE;TRUE;4;0;TRUE
"GP";"F";15;"urban";"GT3";"T";1;1;"at_home";"other";"course";"no";"yes";"yes";TRUE;3;3;"yes";"yes";4;4;"mother";"30-60 min";FALSE;1;0;"no";1;2;6;11;12;13;1;0;"no";1;2;0;8;0;0;TRUE;TRUE;7;0;TRUE
"GP";"F";15;"urban";"GT3";"T";1;1;"other";"other";"home";"no";"yes";"yes";TRUE;3;2;"no";"yes";4;4;"father";"<15 min";FALSE;2;0;"no";2;3;2;13;12;12;2;0;"no";2;3;2;9;10;10;TRUE;TRUE;4;0;TRUE
"GP";"F";15;"urban";"GT3";"T";1;1;"other";"services";"course";"yes";"yes";"yes";TRUE;4;2;"no";"no";5;4;"father";"<15 min";FALSE;2;0;"no";1;2;0;12;12;12;2;0;"yes";1;2;0;8;11;11;TRUE;TRUE;4;0;TRUE
"GP";"F";15;"urban";"GT3";"T";1;2;"at_home";"other";"course";"no";"yes";"yes";TRUE;3;2;"no";"no";5;4;"mother";"<15 min";FALSE;2;0;"no";1;1;6;13;12;13;2;0;"yes";1;1;2;10;11;11;TRUE;TRUE;4;0;TRUE
"GP";"F";15;"urban";"GT3";"T";1;2;"at_home";"services";"course";"no";"no";"yes";FALSE;3;4;"yes";"no";1;2;"father";"<15 min";FALSE;2;0;"no";2;4;6;11;11;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;5;0;FALSE
"GP";"F";15;"urban";"GT3";"T";1;2;"at_home";"services";"course";"no";"yes";"yes";FALSE;2;3;"no";"no";1;3;"mother";"<15 min";FALSE;2;0;"no";1;2;0;14;14;14;2;0;"no";1;2;2;16;15;15;TRUE;FALSE;3;0;TRUE
"GP";"F";15;"urban";"GT3";"T";2;1;"services";"other";"reputation";"yes";"yes";"yes";TRUE;2;2;"no";"yes";4;5;"father";"30-60 min";FALSE;3;0;"no";1;1;0;10;12;13;3;0;"no";1;1;4;10;12;12;TRUE;TRUE;5;0;TRUE
"GP";"F";15;"urban";"GT3";"T";2;2;"other";"other";"course";"yes";"yes";"yes";TRUE;1;2;"no";"no";3;5;"mother";"<15 min";TRUE;4;0;"no";1;1;4;10;10;10;4;0;"yes";1;1;8;7;8;8;TRUE;TRUE;5;0;TRUE
"GP";"F";15;"urban";"GT3";"T";2;3;"other";"other";"other";"yes";"no";"yes";TRUE;5;1;"no";"yes";5;3;"father";"15-30 min";FALSE;1;0;"no";1;1;4;11;11;11;1;0;"no";1;1;0;8;7;6;TRUE;TRUE;3;0;TRUE
"GP";"F";15;"urban";"GT3";"T";3;2;"health";"services";"home";"yes";"yes";"yes";TRUE;3;2;"no";"no";3;3;"father";"<15 min";FALSE;2;1;"no";1;1;2;11;11;11;2;3;"no";1;1;0;6;7;0;TRUE;TRUE;3;4;TRUE
"GP";"F";15;"urban";"GT3";"T";3;2;"services";"other";"home";"yes";"yes";"yes";TRUE;3;5;"no";"no";2;4;"mother";"15-30 min";TRUE;2;0;"no";1;1;16;11;10;10;2;0;"yes";1;1;26;7;6;6;TRUE;TRUE;4;0;TRUE
"GP";"F";15;"urban";"GT3";"T";4;2;"health";"services";"home";"yes";"yes";"yes";TRUE;2;2;"yes";"yes";5;3;"mother";"<15 min";FALSE;3;0;"no";1;1;0;14;14;14;3;0;"yes";1;1;2;15;14;15;TRUE;TRUE;6;0;TRUE
"GP";"F";15;"urban";"GT3";"T";4;2;"other";"other";"reputation";"yes";"yes";"yes";TRUE;3;3;"no";"yes";1;5;"mother";"<15 min";FALSE;3;0;"no";1;3;4;15;15;15;3;0;"no";1;3;4;13;14;14;TRUE;TRUE;5;0;TRUE
"GP";"F";15;"urban";"GT3";"T";4;3;"services";"other";"reputation";"yes";"yes";"yes";FALSE;5;5;"no";"yes";1;4;"mother";"<15 min";FALSE;1;0;"no";1;3;6;14;13;13;1;0;"yes";1;3;4;16;17;18;TRUE;FALSE;4;0;TRUE
"GP";"F";15;"urban";"GT3";"T";4;4;"services";"at_home";"course";"yes";"yes";"yes";TRUE;3;3;"yes";"yes";5;4;"mother";"<15 min";FALSE;3;0;"no";1;1;4;13;14;15;3;0;"no";1;1;0;11;0;0;TRUE;TRUE;7;0;TRUE
"GP";"F";15;"urban";"GT3";"T";4;4;"services";"services";"course";"yes";"yes";"yes";TRUE;3;4;"no";"no";5;3;"mother";"<15 min";TRUE;1;0;"no";2;3;0;13;12;12;1;0;"yes";2;3;0;8;10;11;TRUE;TRUE;3;0;TRUE
"GP";"F";15;"urban";"GT3";"T";4;4;"services";"services";"reputation";"yes";"yes";"yes";FALSE;4;4;"yes";"no";5;4;"father";"15-30 min";FALSE;2;0;"no";2;3;4;12;11;12;2;2;"yes";2;3;6;7;9;8;TRUE;FALSE;7;2;TRUE
"GP";"F";15;"urban";"GT3";"T";4;4;"services";"teacher";"other";"no";"yes";"yes";TRUE;4;4;"no";"yes";3;4;"father";"<15 min";TRUE;2;0;"no";1;1;2;13;12;12;2;1;"no";1;1;2;7;7;7;TRUE;TRUE;4;1;TRUE
"GP";"F";15;"urban";"GT3";"T";4;4;"teacher";"health";"reputation";"yes";"yes";"yes";TRUE;3;3;"no";"no";2;3;"mother";"<15 min";FALSE;2;0;"no";1;2;2;14;14;14;2;0;"yes";1;2;0;10;8;9;TRUE;TRUE;3;0;TRUE
"GP";"F";15;"urban";"GT3";"T";4;4;"teacher";"services";"course";"yes";"yes";"yes";TRUE;2;2;"no";"yes";5;4;"mother";"<15 min";FALSE;3;0;"no";1;1;2;13;13;13;3;0;"yes";1;1;2;9;11;11;TRUE;TRUE;4;0;TRUE
"GP";"F";15;"urban";"GT3";"T";4;4;"teacher";"teacher";"course";"yes";"yes";"yes";FALSE;3;2;"no";"yes";5;4;"mother";"15-30 min";FALSE;1;0;"no";1;1;6;13;14;14;1;0;"no";1;1;0;16;16;15;TRUE;FALSE;4;0;TRUE
"GP";"F";15;"urban";"LE3";"A";2;1;"at_home";"other";"home";"yes";"yes";"no";TRUE;4;2;"yes";"yes";5;4;"mother";"15-30 min";FALSE;1;0;"no";1;1;0;11;10;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;TRUE;7;0;FALSE
"GP";"F";15;"urban";"LE3";"A";3;3;"other";"other";"other";"yes";"yes";"yes";FALSE;3;4;"no";"no";1;5;"mother";"<15 min";FALSE;1;0;"no";4;4;0;13;12;13;1;0;"yes";4;4;6;10;13;13;FALSE;FALSE;5;0;TRUE
"GP";"F";15;"urban";"LE3";"A";3;4;"other";"other";"home";"yes";"yes";"yes";FALSE;3;2;"yes";"yes";1;5;"mother";"<15 min";TRUE;2;0;"no";1;1;0;10;11;11;2;0;"no";1;1;0;7;10;11;FALSE;TRUE;8;0;TRUE
"GP";"F";15;"urban";"LE3";"A";4;3;"other";"other";"course";"yes";"yes";"yes";TRUE;2;2;"yes";"yes";5;5;"mother";"<15 min";TRUE;2;0;"yes";1;1;4;10;11;11;2;0;"yes";1;1;8;8;8;6;FALSE;TRUE;8;0;TRUE
"GP";"F";15;"urban";"LE3";"T";1;1;"at_home";"other";"other";"yes";"yes";"yes";FALSE;3;2;"no";"no";3;4;"mother";"<15 min";TRUE;2;0;"no";2;3;6;12;13;12;2;3;"yes";2;3;10;7;8;10;FALSE;TRUE;4;3;TRUE
"GP";"F";15;"urban";"LE3";"T";3;2;"services";"other";"reputation";"yes";"yes";"yes";TRUE;4;4;"no";"no";5;4;"mother";"<15 min";FALSE;2;0;"no";1;1;4;12;11;11;2;0;"yes";1;1;10;7;6;6;FALSE;TRUE;4;0;TRUE
"GP";"F";15;"urban";"LE3";"T";4;2;"health";"other";"other";"yes";"yes";"yes";TRUE;3;3;"no";"no";5;4;"mother";"<15 min";FALSE;2;0;"no";1;1;0;16;14;16;2;0;"yes";1;1;2;11;13;13;FALSE;TRUE;4;0;TRUE
"GP";"F";15;"urban";"LE3";"T";4;3;"services";"services";"reputation";"yes";"yes";"yes";FALSE;4;4;"yes";"yes";2;4;"father";"<15 min";TRUE;2;0;"no";2;4;0;13;12;12;2;0;"no";2;4;0;10;10;10;FALSE;TRUE;7;0;TRUE
"GP";"F";16;"rural";"GT3";"T";1;1;"at_home";"other";"course";"yes";"no";"yes";TRUE;1;3;"no";"no";3;5;"mother";">60 min";FALSE;2;0;"no";1;1;0;14;13;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;5;0;FALSE
"GP";"F";16;"rural";"GT3";"T";1;1;"other";"services";"reputation";"yes";"no";"yes";TRUE;3;3;"yes";"yes";1;3;"mother";"15-30 min";FALSE;1;0;"no";1;2;8;12;11;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;TRUE;6;0;FALSE
"GP";"F";16;"rural";"GT3";"T";2;2;"services";"services";"reputation";"no";"yes";"yes";TRUE;3;5;"no";"yes";5;5;"mother";"15-30 min";FALSE;4;0;"no";1;1;6;13;13;13;4;0;"yes";1;1;6;10;10;11;TRUE;TRUE;5;0;TRUE
"GP";"F";16;"rural";"GT3";"T";3;3;"services";"other";"reputation";"yes";"yes";"yes";TRUE;1;2;"no";"yes";2;4;"father";"<15 min";TRUE;3;0;"no";1;1;4;11;11;11;3;1;"no";1;1;0;7;10;10;TRUE;TRUE;4;1;TRUE
"GP";"F";16;"rural";"GT3";"T";4;4;"health";"teacher";"other";"yes";"no";"yes";TRUE;4;4;"no";"yes";4;2;"mother";"<15 min";FALSE;2;0;"no";2;3;0;17;16;16;2;0;"no";2;3;6;10;11;11;TRUE;TRUE;2;0;TRUE
"GP";"F";16;"urban";"GT3";"A";2;1;"other";"other";"other";"yes";"yes";"yes";FALSE;3;4;"yes";"yes";2;5;"mother";"<15 min";FALSE;2;0;"no";1;1;2;12;13;12;2;0;"yes";1;1;8;8;9;10;TRUE;FALSE;8;0;TRUE
"GP";"F";16;"urban";"GT3";"A";2;2;"other";"other";"home";"yes";"no";"yes";FALSE;3;4;"no";"no";5;5;"mother";"<15 min";FALSE;1;1;"no";1;1;12;13;11;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;5;1;FALSE
"GP";"F";16;"urban";"GT3";"A";2;2;"other";"other";"reputation";"yes";"yes";"yes";TRUE;3;4;"no";"no";4;3;"mother";"<15 min";TRUE;2;0;"no";1;1;0;13;13;13;2;0;"yes";1;1;0;12;13;14;TRUE;TRUE;3;0;TRUE
"GP";"F";16;"urban";"GT3";"A";3;1;"services";"other";"course";"yes";"yes";"yes";TRUE;3;3;"no";"no";4;2;"mother";"<15 min";FALSE;2;0;"no";2;2;2;11;11;12;2;3;"yes";2;2;5;7;7;7;TRUE;TRUE;2;3;TRUE
"GP";"F";16;"urban";"GT3";"A";3;3;"other";"other";"course";"no";"yes";"yes";TRUE;3;2;"yes";"yes";5;4;"other";"15-30 min";FALSE;1;0;"no";1;1;4;9;9;10;1;2;"no";1;1;0;4;0;0;TRUE;TRUE;7;2;TRUE
"GP";"F";16;"urban";"GT3";"A";3;4;"services";"other";"course";"yes";"yes";"yes";FALSE;2;1;"no";"no";5;3;"father";"<15 min";FALSE;1;0;"no";1;4;12;15;13;14;1;0;"no";1;4;16;12;11;11;TRUE;FALSE;3;0;TRUE
"GP";"F";16;"urban";"GT3";"A";4;1;"other";"other";"home";"yes";"yes";"yes";FALSE;3;3;"yes";"yes";5;5;"mother";"<15 min";FALSE;2;0;"no";1;2;0;14;13;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;8;0;FALSE
"GP";"F";16;"urban";"GT3";"T";1;1;"at_home";"other";"home";"yes";"no";"yes";TRUE;3;2;"no";"no";5;4;"mother";"15-30 min";FALSE;1;0;"no";1;4;2;12;13;13;1;0;"yes";1;4;6;9;9;10;TRUE;TRUE;4;0;TRUE
"GP";"F";16;"urban";"GT3";"T";1;1;"services";"services";"course";"no";"yes";"yes";TRUE;5;5;"yes";"yes";5;5;"father";">60 min";TRUE;1;0;"no";5;5;0;10;10;16;1;0;"no";5;5;6;10;8;11;TRUE;TRUE;8;0;TRUE
"GP";"F";16;"urban";"GT3";"T";1;2;"other";"other";"course";"yes";"yes";"no";FALSE;3;5;"no";"no";5;5;"mother";"<15 min";FALSE;1;0;"no";1;2;4;12;11;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;TRUE;FALSE;5;0;FALSE
"GP";"F";16;"urban";"GT3";"T";1;3;"at_home";"services";"home";"no";"yes";"yes";FALSE;3;5;"yes";"yes";3;4;"mother";"<15 min";FALSE;2;0;"no";1;1;0;14;13;13;2;3;"no";1;1;0;8;7;0;TRUE;FALSE;7;3;TRUE
"GP";"F";16;"urban";"GT3";"T";2;1;"other";"other";"course";"yes";"no";"yes";TRUE;3;5;"yes";"no";5;4;"mother";"<15 min";FALSE;2;0;"no";1;1;0;13;12;12;2;0;"yes";1;1;2;8;9;10;TRUE;TRUE;7;0;TRUE
"GP";"F";16;"urban";"GT3";"T";2;1;"other";"other";"home";"yes";"yes";"yes";FALSE;5;2;"yes";"no";5;4;"mother";"<15 min";FALSE;1;0;"no";1;1;4;9;10;10;1;0;"no";1;1;20;13;12;12;TRUE;FALSE;7;0;TRUE
"GP";"F";16;"urban";"GT3";"T";2;2;"at_home";"other";"home";"yes";"yes";"yes";FALSE;1;2;"no";"yes";5;3;"mother";"<15 min";TRUE;2;1;"no";1;1;12;8;10;10;2;1;"no";1;1;6;10;13;13;TRUE;TRUE;3;2;TRUE
"GP";"F";16;"urban";"GT3";"T";2;2;"other";"other";"home";"no";"yes";"yes";TRUE;1;5;"no";"no";4;5;"mother";"<15 min";FALSE;2;0;"no";1;1;0;12;12;13;2;0;"yes";1;1;0;6;7;0;TRUE;TRUE;5;0;TRUE
"GP";"F";16;"urban";"GT3";"T";2;2;"other";"other";"home";"yes";"yes";"yes";FALSE;4;4;"yes";"no";5;5;"mother";"<15 min";FALSE;2;0;"no";1;1;0;12;11;11;2;0;"yes";1;1;0;8;7;8;TRUE;FALSE;8;0;TRUE
"GP";"F";16;"urban";"GT3";"T";2;2;"other";"other";"reputation";"yes";"yes";"yes";FALSE;2;3;"yes";"no";3;5;"mother";"<15 min";FALSE;4;0;"no";1;3;1;13;13;13;4;0;"yes";1;3;0;11;11;11;TRUE;FALSE;8;0;TRUE
"GP";"F";16;"urban";"GT3";"T";2;2;"services";"other";"reputation";"no";"yes";"yes";FALSE;4;4;"no";"yes";5;3;"mother";"15-30 min";FALSE;2;0;"no";1;4;0;13;12;14;2;0;"yes";1;4;2;13;13;11;TRUE;FALSE;3;0;TRUE
"GP";"F";16;"urban";"GT3";"T";2;2;"services";"services";"home";"no";"yes";"yes";TRUE;2;2;"no";"no";5;1;"mother";"<15 min";FALSE;1;0;"no";1;3;6;10;11;12;1;2;"yes";1;3;14;6;9;8;TRUE;TRUE;1;2;TRUE
"GP";"F";16;"urban";"GT3";"T";2;3;"other";"other";"reputation";"yes";"no";"yes";TRUE;4;3;"no";"yes";4;4;"mother";"<15 min";TRUE;2;0;"no";1;3;4;11;12;12;2;0;"yes";1;3;6;8;10;10;TRUE;TRUE;4;0;TRUE
"GP";"F";16;"urban";"GT3";"T";2;3;"services";"services";"course";"yes";"yes";"yes";FALSE;3;3;"no";"no";2;4;"mother";"<15 min";FALSE;2;0;"no";1;1;6;12;12;13;2;0;"no";1;1;10;11;12;13;TRUE;FALSE;4;0;TRUE
"GP";"F";16;"urban";"GT3";"T";2;3;"services";"teacher";"other";"yes";"yes";"yes";FALSE;3;1;"no";"no";3;2;"mother";"<15 min";TRUE;2;0;"no";1;1;0;13;13;14;2;0;"no";1;1;2;16;16;17;TRUE;TRUE;2;0;TRUE
"GP";"F";16;"urban";"GT3";"T";3;1;"services";"other";"course";"yes";"yes";"yes";TRUE;3;3;"no";"no";5;4;"mother";"<15 min";TRUE;4;0;"no";1;2;0;10;9;10;4;0;"yes";1;2;4;7;7;6;TRUE;TRUE;4;0;TRUE
"GP";"F";16;"urban";"GT3";"T";3;2;"other";"other";"reputation";"yes";"yes";"yes";TRUE;2;2;"no";"no";1;1;"mother";"<15 min";FALSE;2;0;"no";1;2;8;14;15;16;2;0;"yes";1;2;14;12;13;12;TRUE;TRUE;1;0;TRUE
"GP";"F";16;"urban";"GT3";"T";3;3;"other";"other";"home";"yes";"no";"yes";TRUE;3;2;"no";"no";5;4;"father";"<15 min";FALSE;2;0;"no";1;2;0;11;13;13;2;0;"yes";1;2;4;6;10;10;TRUE;TRUE;4;0;TRUE
"GP";"F";16;"urban";"GT3";"T";3;3;"other";"other";"home";"yes";"yes";"yes";TRUE;3;3;"yes";"no";4;4;"mother";"<15 min";FALSE;3;0;"no";1;3;2;9;11;11;3;0;"yes";1;3;0;7;7;8;TRUE;TRUE;7;0;TRUE
"GP";"F";16;"urban";"GT3";"T";3;3;"other";"other";"reputation";"yes";"no";"yes";TRUE;3;2;"no";"yes";4;5;"mother";"30-60 min";TRUE;2;0;"no";1;1;2;13;14;14;2;0;"no";1;1;4;8;10;10;TRUE;TRUE;5;0;TRUE
"GP";"F";16;"urban";"GT3";"T";3;3;"other";"services";"home";"yes";"yes";"yes";TRUE;3;3;"no";"yes";5;4;"mother";"<15 min";TRUE;2;0;"no";2;4;4;11;11;11;2;0;"yes";2;4;54;11;12;11;TRUE;TRUE;4;0;TRUE
"GP";"F";16;"urban";"GT3";"T";3;4;"at_home";"other";"course";"yes";"yes";"yes";TRUE;4;3;"no";"no";3;2;"mother";"<15 min";FALSE;2;0;"no";1;2;14;12;11;11;2;0;"no";1;2;12;5;5;5;TRUE;TRUE;2;0;TRUE
"GP";"F";16;"urban";"GT3";"T";4;2;"health";"services";"home";"yes";"yes";"yes";FALSE;2;3;"yes";"no";3;4;"father";"<15 min";FALSE;2;0;"no";1;1;0;17;17;18;2;0;"yes";1;1;0;14;15;16;TRUE;FALSE;7;0;TRUE
"GP";"F";16;"urban";"GT3";"T";4;2;"services";"other";"course";"yes";"yes";"yes";TRUE;2;3;"no";"no";5;4;"mother";"<15 min";FALSE;2;0;"yes";1;1;2;16;15;16;2;0;"no";1;1;2;15;16;16;TRUE;TRUE;4;0;TRUE
"GP";"F";16;"urban";"GT3";"T";4;2;"teacher";"services";"home";"yes";"yes";"yes";TRUE;3;3;"no";"yes";1;5;"mother";"15-30 min";FALSE;2;0;"no";1;1;2;13;14;14;2;0;"yes";1;1;0;11;10;10;TRUE;TRUE;5;0;TRUE
"GP";"F";16;"urban";"GT3";"T";4;3;"health";"other";"home";"yes";"yes";"yes";TRUE;3;5;"no";"yes";2;4;"mother";"<15 min";FALSE;2;0;"no";1;5;2;14;14;15;2;0;"no";1;5;2;16;16;16;TRUE;TRUE;4;0;TRUE
"GP";"F";16;"urban";"GT3";"T";4;3;"other";"at_home";"course";"yes";"yes";"yes";TRUE;3;5;"no";"no";3;5;"mother";"<15 min";TRUE;3;0;"no";1;1;2;12;13;13;3;0;"yes";1;1;0;7;9;8;TRUE;TRUE;5;0;TRUE
"GP";"F";16;"urban";"GT3";"T";4;3;"teacher";"health";"home";"yes";"yes";"yes";TRUE;4;4;"no";"yes";4;3;"mother";"<15 min";TRUE;3;0;"no";2;4;0;14;13;13;3;0;"yes";2;4;2;10;9;9;TRUE;TRUE;3;0;TRUE
"GP";"F";16;"urban";"GT3";"T";4;3;"teacher";"other";"other";"yes";"yes";"yes";FALSE;3;2;"yes";"yes";1;1;"mother";"<15 min";FALSE;2;0;"no";1;1;4;14;15;15;2;0;"yes";1;1;10;11;12;13;TRUE;FALSE;4;0;TRUE
"GP";"F";16;"urban";"GT3";"T";4;4;"health";"health";"reputation";"yes";"yes";"yes";TRUE;4;2;"yes";"no";3;4;"mother";"<15 min";FALSE;2;0;"no";1;1;0;16;16;17;2;0;"yes";1;1;0;14;14;14;TRUE;TRUE;7;0;TRUE
"GP";"F";16;"urban";"GT3";"T";4;4;"health";"other";"home";"yes";"yes";"yes";TRUE;4;4;"no";"no";2;4;"mother";"<15 min";FALSE;1;0;"no";1;2;6;17;17;17;1;0;"no";1;2;4;14;14;14;TRUE;TRUE;4;0;TRUE
"GP";"F";16;"urban";"GT3";"T";4;4;"other";"other";"reputation";"no";"yes";"yes";FALSE;3;4;"no";"yes";1;5;"mother";"<15 min";FALSE;1;0;"no";1;2;4;12;13;13;1;0;"no";1;2;6;11;14;14;TRUE;FALSE;5;0;TRUE
"GP";"F";16;"urban";"GT3";"T";4;4;"services";"services";"reputation";"yes";"yes";"yes";TRUE;2;3;"no";"yes";2;3;"mother";"<15 min";FALSE;3;0;"no";1;2;10;13;13;14;3;0;"yes";1;2;6;13;14;14;TRUE;TRUE;3;0;TRUE
"GP";"F";16;"urban";"GT3";"T";4;4;"teacher";"services";"home";"no";"yes";"yes";TRUE;3;2;"no";"yes";5;5;"mother";"<15 min";FALSE;3;0;"no";1;1;4;15;16;16;3;0;"no";1;1;0;13;13;14;TRUE;TRUE;5;0;TRUE
"GP";"F";16;"urban";"LE3";"A";3;3;"other";"services";"home";"yes";"yes";"yes";TRUE;3;5;"no";"no";3;2;"mother";"<15 min";FALSE;2;0;"no";1;4;6;13;12;13;2;0;"no";1;4;12;11;12;11;FALSE;TRUE;2;0;TRUE
"GP";"F";16;"urban";"LE3";"T";1;1;"at_home";"at_home";"course";"yes";"yes";"yes";FALSE;4;4;"no";"no";1;3;"mother";"<15 min";FALSE;1;0;"no";3;3;4;10;11;11;1;0;"no";3;3;2;14;14;13;FALSE;FALSE;3;0;TRUE
"GP";"F";16;"urban";"LE3";"T";1;2;"other";"services";"reputation";"yes";"yes";"yes";FALSE;4;3;"no";"yes";1;4;"father";"<15 min";TRUE;2;0;"no";1;1;0;13;13;10;2;0;"no";1;1;4;8;10;9;FALSE;TRUE;4;0;TRUE
"GP";"F";16;"urban";"LE3";"T";2;2;"at_home";"other";"course";"yes";"no";"yes";TRUE;3;4;"no";"no";2;4;"mother";"<15 min";FALSE;2;0;"no";1;2;6;13;11;11;2;0;"no";1;2;4;8;7;6;FALSE;TRUE;4;0;TRUE
"GP";"F";16;"urban";"LE3";"T";2;2;"other";"at_home";"course";"yes";"yes";"yes";FALSE;3;3;"no";"yes";5;4;"father";"15-30 min";TRUE;2;1;"no";2;2;14;10;11;11;2;1;"no";2;2;14;10;10;9;FALSE;TRUE;4;2;TRUE
"GP";"F";16;"urban";"LE3";"T";2;2;"other";"other";"home";"no";"yes";"yes";TRUE;3;3;"yes";"yes";3;3;"mother";"15-30 min";FALSE;2;0;"no";1;2;16;11;11;10;2;1;"no";1;2;25;7;10;11;FALSE;TRUE;6;1;TRUE
"GP";"F";16;"urban";"LE3";"T";2;2;"services";"services";"course";"yes";"yes";"yes";TRUE;3;3;"no";"no";4;4;"mother";"30-60 min";FALSE;2;0;"no";2;3;0;14;13;13;2;0;"yes";2;3;2;12;13;13;FALSE;TRUE;4;0;TRUE
"GP";"F";16;"urban";"LE3";"T";2;4;"other";"health";"course";"yes";"yes";"yes";TRUE;2;2;"yes";"yes";5;4;"father";"15-30 min";FALSE;2;0;"no";1;2;2;14;12;13;2;0;"yes";1;2;2;13;13;13;FALSE;TRUE;7;0;TRUE
